employee_id,department,salary,tenure,satisfaction_level,last_evaluation,number_project,average_monthly_hours,promotion_last_5years,left,risk_score,risk_band,risk_reasons
EMP02080,accounting,medium,2,0.57,0.51,2,152,0,0,36.9,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction']"
EMP02081,accounting,medium,3,0.84,0.58,4,208,0,0,25.8,Low,[]
EMP02082,accounting,medium,3,0.6,0.95,5,205,0,0,41.0,Medium,"['No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP02083,hr,medium,6,0.73,0.44,2,194,0,0,44.1,Medium,"['Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02084,hr,medium,5,0.2,0.58,3,209,0,0,49.0,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02085,hr,medium,3,0.58,0.9,3,212,0,0,33.6,Low,[]
EMP02086,hr,medium,3,0.48,0.56,2,151,0,0,51.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP02087,technical,medium,6,0.54,0.67,4,282,0,0,43.8,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Unhealthy working hours (over/under-work)']"
EMP02088,technical,medium,3,0.86,1.0,4,256,0,0,28.63,Low,[]
EMP02089,technical,medium,3,0.94,0.83,2,185,0,0,37.8,Medium,"['Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02090,technical,medium,3,0.76,0.74,5,132,0,0,40.7,Medium,"['No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP02091,technical,medium,3,0.61,0.95,5,233,0,0,40.7,Medium,"['No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP02092,technical,high,2,0.56,0.94,4,215,0,0,17.2,Low,[]
EMP02093,technical,low,4,1.0,0.74,3,220,0,0,30.0,Low,[]
EMP02094,technical,medium,3,0.15,0.53,6,222,0,0,54.5,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02095,technical,medium,2,0.19,0.58,5,182,0,0,41.3,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)']"
EMP02096,technical,medium,4,0.17,0.73,5,258,0,0,61.76,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02097,technical,medium,2,0.71,0.57,3,209,0,0,17.7,Low,[]
EMP02098,support,low,2,0.86,0.79,3,242,0,0,18.63,Low,[]
EMP02099,support,low,3,0.59,0.88,4,155,0,0,38.3,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02100,support,low,4,0.74,0.76,5,104,0,0,57.3,Medium,"['Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02101,support,low,3,0.98,0.92,4,201,0,0,26.6,Low,[]
EMP02102,support,low,3,0.93,0.75,5,143,0,0,37.85,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02103,support,low,3,1.0,0.92,5,161,0,0,34.0,Low,[]
EMP02104,support,low,2,0.59,0.81,4,200,0,0,26.3,Low,[]
EMP02105,support,low,2,0.98,0.55,4,255,0,0,17.81,Low,[]
EMP02106,support,low,2,0.35,0.5,5,227,0,0,41.5,Medium,"['Low job satisfaction', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02107,support,low,6,0.42,0.96,3,270,0,0,59.83,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02108,support,low,3,0.61,0.85,5,230,0,0,45.7,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02109,technical,low,3,0.78,0.72,5,270,0,0,47.03,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02110,technical,low,3,0.93,0.52,4,200,0,0,28.1,Low,[]
EMP02111,technical,low,3,0.5,0.95,5,207,0,0,49.0,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02112,management,low,3,0.67,0.51,5,182,0,0,43.9,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02113,it,low,3,0.75,0.85,4,234,0,0,33.5,Low,[]
EMP02114,it,low,2,0.79,0.51,4,237,0,0,20.3,Low,[]
EMP02115,it,low,2,0.84,0.89,4,187,0,0,18.8,Low,[]
EMP02116,it,low,6,0.72,0.5,3,257,0,0,38.04,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02117,it,low,2,0.57,0.48,2,194,0,0,41.9,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction', 'Below-market / low compensation band']"
EMP02118,product_mng,low,3,0.73,0.52,4,162,0,0,34.1,Low,[]
EMP02119,product_mng,medium,2,0.74,0.58,4,148,0,0,17.3,Low,[]
EMP02120,product_mng,medium,2,0.52,0.83,4,210,0,0,23.4,Low,[]
EMP02121,product_mng,medium,2,0.56,0.76,3,213,0,0,22.2,Low,[]
EMP02122,it,medium,2,0.76,0.68,4,189,0,0,16.2,Low,[]
EMP02123,randd,medium,2,0.82,0.93,4,185,0,0,14.4,Low,[]
EMP02124,randd,medium,2,0.76,0.83,3,186,0,0,16.2,Low,[]
EMP02125,randd,medium,3,0.62,0.59,3,128,0,0,37.9,Medium,"['No recent promotion / stalled growth', 'In a historically high-attrition tenure window', 'Unhealthy working hours (over/under-work)']"
EMP02126,randd,medium,3,0.48,0.8,4,268,0,0,52.6,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'High performer showing silent burnout signs']"
EMP02127,randd,medium,3,0.64,0.77,3,213,0,0,31.8,Low,[]
EMP02128,marketing,medium,2,0.74,0.82,4,142,0,0,18.8,Low,[]
EMP02129,sales,medium,2,0.52,0.43,2,199,0,0,38.4,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction']"
EMP02130,accounting,medium,2,0.67,0.5,4,157,0,0,18.9,Low,[]
EMP02131,support,high,2,0.71,0.76,5,172,0,0,20.7,Low,[]
EMP02132,technical,low,3,0.72,0.63,3,176,0,0,34.4,Low,[]
EMP02133,management,medium,2,0.33,0.58,2,183,0,0,44.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)']"
EMP02134,marketing,medium,2,0.91,0.56,4,270,0,0,18.13,Low,[]
EMP02135,marketing,medium,4,0.88,0.68,5,157,0,0,36.6,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02136,marketing,medium,3,0.96,0.6,4,185,0,0,22.2,Low,[]
EMP02137,sales,low,3,0.97,0.68,3,167,0,0,26.9,Low,[]
EMP02138,sales,low,5,0.27,0.59,5,226,0,0,59.9,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02139,sales,low,4,0.65,0.64,3,223,0,0,40.5,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02140,sales,low,3,0.68,0.73,3,257,0,0,39.24,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02141,sales,low,3,0.68,0.46,4,143,0,0,37.35,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02142,sales,low,2,0.69,0.74,3,215,0,0,23.3,Low,[]
EMP02143,sales,low,4,0.79,0.99,3,194,0,0,36.3,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02144,sales,low,3,0.74,0.92,5,193,0,0,41.8,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02145,sales,low,3,0.8,0.83,3,163,0,0,32.0,Low,[]
EMP02146,sales,low,5,0.38,0.94,5,252,0,0,69.17,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02147,sales,low,3,0.26,0.83,3,168,0,0,48.2,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02148,sales,low,3,0.81,0.86,3,231,0,0,31.7,Low,[]
EMP02149,sales,low,2,0.67,0.54,2,141,0,0,41.15,Medium,"['Workload imbalance (too many or too few projects)', 'Below-market / low compensation band', 'Unhealthy working hours (over/under-work)']"
EMP02150,sales,low,2,0.55,0.81,4,260,0,0,31.79,Low,[]
EMP02151,sales,low,2,0.87,0.71,3,132,0,0,22.4,Low,[]
EMP02152,sales,low,2,0.46,0.69,2,159,0,0,45.2,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Below-market / low compensation band']"
EMP02153,sales,low,3,0.63,0.57,4,177,0,0,37.1,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02154,sales,low,3,0.54,0.96,4,248,0,0,41.51,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02155,sales,low,2,1.0,0.49,3,185,0,0,14.0,Low,[]
EMP02156,accounting,low,2,0.97,0.66,4,149,0,0,15.15,Low,[]
EMP02157,accounting,low,3,0.9,0.92,3,152,0,0,29.0,Low,[]
EMP02158,accounting,medium,3,0.75,0.7,3,129,0,0,33.75,Low,[]
EMP02159,hr,medium,2,0.92,0.84,4,208,0,0,11.4,Low,[]
EMP02160,hr,medium,2,0.8,0.94,4,136,0,0,18.5,Low,[]
EMP02161,hr,medium,2,0.57,0.81,3,142,0,0,23.9,Low,[]
EMP02162,hr,medium,4,0.81,0.94,3,225,0,0,30.7,Low,[]
EMP02163,technical,medium,3,0.64,0.6,3,143,0,0,33.55,Low,[]
EMP02164,technical,medium,3,0.71,0.54,4,215,0,0,29.7,Low,[]
EMP02165,technical,medium,6,0.35,0.58,3,229,0,0,40.5,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02166,technical,medium,5,0.88,0.81,5,193,0,0,36.6,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02167,technical,medium,5,0.13,0.59,5,160,0,0,59.1,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02168,technical,medium,5,0.82,0.73,4,195,0,0,30.4,Low,[]
EMP02169,technical,medium,2,0.17,0.92,4,189,0,0,33.9,Low,[]
EMP02170,technical,high,5,0.21,0.82,4,207,0,0,43.7,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02171,technical,low,3,0.89,0.47,4,108,0,0,39.8,Medium,"['Unhealthy working hours (over/under-work)', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02172,technical,medium,4,0.2,0.72,6,224,0,0,57.0,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02173,technical,medium,3,0.99,0.81,5,180,0,0,29.3,Low,[]
EMP02174,support,medium,4,0.26,0.85,6,152,0,0,55.2,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02175,support,medium,2,0.22,0.53,4,244,0,0,33.26,Low,[]
EMP02176,support,low,3,0.79,0.84,3,176,0,0,32.3,Low,[]
EMP02177,support,low,2,0.73,0.79,4,145,0,0,23.35,Low,[]
EMP02178,support,low,3,0.83,0.54,3,149,0,0,31.35,Low,[]
EMP02179,support,low,4,0.42,0.54,3,122,0,0,54.4,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02180,support,low,5,0.18,0.8,2,110,0,0,79.6,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP02181,support,low,2,0.92,0.91,4,222,0,0,16.4,Low,[]
EMP02182,support,low,3,0.87,0.52,3,237,0,0,29.9,Low,[]
EMP02183,support,low,3,0.72,0.65,4,224,0,0,34.4,Low,[]
EMP02184,support,low,5,0.64,0.58,5,115,0,0,57.55,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02185,technical,low,3,1.0,0.66,4,180,0,0,26.0,Low,[]
EMP02186,technical,low,3,0.83,0.65,4,162,0,0,31.1,Low,[]
EMP02187,technical,low,3,0.98,0.58,4,136,0,0,30.1,Low,[]
EMP02188,management,low,2,0.7,0.87,3,260,0,0,27.29,Low,[]
EMP02189,it,low,2,0.9,0.79,4,150,0,0,17.0,Low,[]
EMP02190,it,low,3,0.55,0.99,4,248,0,0,41.21,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02191,it,low,3,0.78,0.84,3,233,0,0,32.6,Low,[]
EMP02192,it,low,3,0.89,0.53,5,272,0,0,44.16,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02193,it,low,5,0.17,0.59,3,197,0,0,54.9,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02194,product_mng,low,5,0.14,0.64,5,164,0,0,63.8,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02195,product_mng,low,2,0.85,0.57,4,216,0,0,18.5,Low,[]
EMP02196,product_mng,low,3,0.84,0.79,4,266,0,0,36.37,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02197,product_mng,medium,4,0.7,0.69,3,102,0,0,46.0,Medium,"['Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02198,it,medium,5,0.16,0.98,5,284,0,0,77.63,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02199,randd,medium,2,0.51,0.69,3,145,0,0,24.95,Low,[]
EMP02200,randd,medium,4,0.6,0.89,3,167,0,0,37.0,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02201,randd,medium,2,0.5,0.63,3,172,0,0,24.0,Low,[]
EMP02202,randd,medium,5,0.43,0.39,5,198,0,0,50.1,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02203,randd,medium,4,0.5,0.7,4,201,0,0,40.0,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02204,marketing,medium,4,0.91,0.89,4,197,0,0,27.7,Low,[]
EMP02205,sales,medium,2,0.65,0.93,4,270,0,0,25.93,Low,[]
EMP02206,accounting,medium,3,0.59,0.52,2,149,0,0,48.55,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction', 'No recent promotion / stalled growth']"
EMP02207,support,medium,3,0.89,0.56,3,256,0,0,27.73,Low,[]
EMP02208,technical,medium,3,0.97,0.6,3,162,0,0,21.9,Low,[]
EMP02209,management,high,2,0.56,0.97,5,163,0,0,25.2,Low,[]
EMP02210,marketing,low,3,0.76,0.93,3,266,0,0,38.77,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02211,marketing,medium,4,0.28,0.55,4,208,0,0,46.6,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02212,marketing,medium,4,0.75,0.51,4,138,0,0,35.5,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Unhealthy working hours (over/under-work)']"
EMP02213,sales,medium,3,0.78,0.81,4,232,0,0,27.6,Low,[]
EMP02214,sales,medium,4,0.26,0.63,6,100,0,0,67.7,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP02215,sales,low,5,0.53,0.72,2,172,0,0,59.1,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction', 'In a historically high-attrition tenure window']"
EMP02216,sales,low,6,0.25,0.41,3,133,0,0,52.75,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02217,sales,low,3,0.82,0.51,3,234,0,0,31.4,Low,[]
EMP02218,sales,low,4,0.71,0.57,2,183,0,0,53.7,Medium,"['Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02219,sales,low,4,0.61,0.95,4,174,0,0,41.7,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02220,sales,low,2,0.89,0.68,3,175,0,0,17.3,Low,[]
EMP02221,sales,low,3,0.57,0.78,3,109,0,0,49.15,Medium,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'No recent promotion / stalled growth']"
EMP02222,sales,low,3,0.93,0.8,4,248,0,0,29.81,Low,[]
EMP02223,sales,low,4,0.61,0.84,5,104,0,0,61.2,Medium,"['Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02224,sales,low,2,0.56,0.62,3,154,0,0,27.2,Low,[]
EMP02225,sales,low,2,0.7,0.89,6,214,0,0,31.0,Low,[]
EMP02226,sales,low,4,0.9,0.64,4,209,0,0,33.0,Low,[]
EMP02227,sales,low,2,0.15,0.74,6,212,0,0,47.5,Medium,"['Low job satisfaction', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02228,sales,low,3,0.39,0.36,3,168,0,0,44.3,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02229,sales,low,3,0.74,0.72,4,176,0,0,33.8,Low,[]
EMP02230,sales,low,4,0.7,0.61,4,163,0,0,39.0,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02231,sales,low,2,0.72,0.93,4,148,0,0,22.9,Low,[]
EMP02232,accounting,low,3,0.61,0.97,3,137,0,0,40.95,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02233,accounting,low,3,0.96,1.0,5,162,0,0,35.2,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02234,accounting,low,3,0.7,0.59,4,216,0,0,35.0,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02235,hr,low,2,0.92,0.49,3,240,0,0,16.4,Low,[]
EMP02236,hr,medium,2,0.72,0.56,4,176,0,0,17.4,Low,[]
EMP02237,hr,medium,6,0.53,0.75,6,192,0,0,43.1,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02238,hr,medium,4,0.67,0.85,3,160,0,0,34.9,Low,[]
EMP02239,technical,medium,2,0.78,0.8,4,194,0,0,15.6,Low,[]
EMP02240,technical,medium,2,0.53,0.75,4,239,0,0,23.1,Low,[]
EMP02241,technical,medium,3,0.9,0.48,4,204,0,0,24.0,Low,[]
EMP02242,technical,medium,3,0.16,0.9,5,258,0,0,68.06,High,"['Low job satisfaction', 'No recent promotion / stalled growth', 'High performer showing silent burnout signs']"
EMP02243,technical,medium,3,0.62,0.38,3,257,0,0,36.04,Medium,"['No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02244,technical,medium,3,0.62,0.98,4,137,0,0,35.65,Medium,"['No recent promotion / stalled growth', 'In a historically high-attrition tenure window', 'Unhealthy working hours (over/under-work)']"
EMP02245,technical,medium,4,0.22,0.52,6,175,0,0,56.4,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02246,technical,medium,3,0.91,0.82,3,183,0,0,23.7,Low,[]
EMP02247,technical,medium,4,0.87,0.74,4,190,0,0,28.9,Low,[]
EMP02248,technical,high,2,0.95,0.69,3,225,0,0,5.5,Low,[]
EMP02249,technical,low,3,0.99,0.75,3,215,0,0,26.3,Low,[]
EMP02250,support,medium,4,0.99,0.57,3,176,0,0,25.3,Low,[]
EMP02251,support,medium,3,0.77,0.99,4,153,0,0,27.9,Low,[]
EMP02252,support,medium,2,0.75,0.68,3,150,0,0,16.5,Low,[]
EMP02253,support,medium,5,0.83,0.54,4,259,0,0,34.17,Low,[]
EMP02254,support,low,2,0.61,0.39,3,99,0,0,38.45,Medium,"['Unhealthy working hours (over/under-work)', 'Below-market / low compensation band']"
EMP02255,support,low,2,0.91,0.97,3,167,0,0,16.7,Low,[]
EMP02256,support,low,3,0.47,0.64,3,192,0,0,41.9,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02257,support,low,3,0.77,0.61,5,146,0,0,41.9,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02258,support,low,3,0.55,0.51,3,190,0,0,39.5,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02259,support,low,3,0.32,0.48,5,246,0,0,55.69,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02260,support,low,3,0.96,0.67,6,190,0,0,35.2,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02261,technical,low,2,0.72,0.79,5,260,0,0,34.69,Low,[]
EMP02262,technical,low,3,0.8,0.9,4,136,0,0,35.5,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02263,technical,low,3,0.61,0.55,4,231,0,0,37.7,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02264,management,low,2,0.97,0.88,3,204,0,0,14.9,Low,[]
EMP02265,it,low,3,0.63,0.93,4,201,0,0,37.1,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02266,it,low,3,0.92,0.92,3,159,0,0,28.4,Low,[]
EMP02267,it,low,3,0.94,0.74,5,171,0,0,35.8,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP02268,it,low,4,0.79,0.72,6,240,0,0,44.3,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02269,it,low,4,0.75,0.73,2,152,0,0,52.5,Medium,"['Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02270,product_mng,low,3,0.78,0.99,3,151,0,0,32.6,Low,[]
EMP02271,product_mng,low,2,0.96,0.45,6,232,0,0,23.2,Low,[]
EMP02272,product_mng,low,5,0.65,0.68,4,128,0,0,46.0,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02273,product_mng,low,6,0.18,0.94,3,187,0,0,50.6,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02274,it,low,2,0.94,0.51,3,160,0,0,15.8,Low,[]
EMP02275,randd,medium,3,0.84,0.79,4,259,0,0,29.87,Low,[]
EMP02276,randd,medium,2,0.67,0.54,2,136,0,0,37.4,Medium,"['Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP02277,randd,medium,3,0.71,0.5,4,253,0,0,32.49,Low,[]
EMP02278,randd,medium,3,0.56,0.64,3,260,0,0,38.49,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02279,randd,medium,6,0.29,0.56,5,231,0,0,50.3,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02280,marketing,medium,2,0.47,0.9,3,101,0,0,37.15,Medium,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)']"
EMP02281,sales,medium,3,0.4,0.69,2,174,0,0,54.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP02282,accounting,medium,2,0.81,0.82,4,167,0,0,14.7,Low,[]
EMP02283,support,medium,3,0.96,0.99,3,148,0,0,22.7,Low,[]
EMP02284,technical,medium,5,0.99,0.75,6,139,0,0,36.05,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP02285,management,medium,3,0.75,0.77,4,136,0,0,32.0,Low,[]
EMP02286,marketing,medium,2,0.75,0.74,4,153,0,0,16.5,Low,[]
EMP02287,marketing,high,2,1.0,0.86,4,161,0,0,4.0,Low,[]
EMP02288,marketing,low,2,0.52,0.53,2,163,0,0,43.4,Medium,"['Workload imbalance (too many or too few projects)', 'Low job satisfaction', 'Below-market / low compensation band']"
EMP02289,sales,medium,3,0.98,0.74,3,164,0,0,21.6,Low,[]
EMP02290,sales,medium,5,0.6,0.64,2,137,0,0,55.25,Medium,"['Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02291,sales,medium,3,0.38,0.44,3,137,0,0,42.85,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'In a historically high-attrition tenure window']"
EMP02292,sales,medium,5,0.51,0.41,6,106,0,0,58.7,Medium,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP02293,sales,low,2,0.91,0.61,2,272,0,0,38.56,Medium,"['Workload imbalance (too many or too few projects)', 'Below-market / low compensation band', 'Unhealthy working hours (over/under-work)']"
EMP02294,sales,low,3,0.56,0.62,5,238,0,0,47.2,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02295,sales,low,4,0.58,0.69,4,223,0,0,42.6,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02296,sales,low,2,0.51,0.53,3,201,0,0,28.7,Low,[]
EMP02297,sales,low,4,0.91,0.55,6,97,0,0,53.95,Medium,"['Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP02298,sales,low,6,0.8,0.98,2,232,0,0,47.0,Medium,"['Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02299,sales,low,3,0.55,0.83,4,199,0,0,39.5,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP02300,sales,low,3,0.62,0.53,3,141,0,0,39.65,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'In a historically high-attrition tenure window']"
EMP02301,sales,low,2,0.62,0.6,3,171,0,0,25.4,Low,[]
EMP02302,sales,low,3,0.87,0.58,4,212,0,0,29.9,Low,[]
EMP02303,sales,low,2,0.65,0.5,5,270,0,0,38.93,Medium,"['Below-market / low compensation band', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP02304,sales,low,2,0.51,0.64,3,267,0,0,34.49,Low,[]
EMP02305,sales,low,2,0.98,0.77,3,134,0,0,18.6,Low,[]
